count	class	samples
15	leading-snug	<h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "A smartphone and earphone bundle offers an all-in-one mobile communication and audio solution." | <h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "Apple iPhone Smartphone" | <h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "blout Pixel 9a 5G" | <h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "Edge 60 Fusion"
15	rounded	<input.w-4.h-4.cursor-pointer.rounded.border-neutral-300.text-neutral-900.focus:ring-neutral-900.dark:border-neutral-600> | <input.w-4.h-4.rounded.border-neutral-300.text-neutral-900.focus:ring-neutral-900.dark:border-neutral-600.dark:focus:ring-neutral-500>
15	tracking-wide	<a.flex.w-full.cursor-pointer.items-center.justify-center.gap-2.px-4.py-2.5> "Add to Cart" | <button.flex.w-full.cursor-pointer.items-center.justify-center.gap-2.px-4.py-2.5> "Add to Cart" | <h3.text-sm.font-semibold.text-neutral-900.dark:text-white.uppercase.tracking-wide> "COLOR" | <h3.text-sm.font-semibold.text-neutral-900.dark:text-white.uppercase.tracking-wide> "SIZE"
15	w-10	<div.absolute.bottom-3.right-3.transition-all.duration-300.w-10.h-10.opacity-0> | <div.w-10.h-10.flex.items-center.justify-center.rounded-full.text-white.dark:text-neutral-900>
14	dark:bg-white	<a.flex.w-full.cursor-pointer.items-center.justify-center.gap-2.px-4.py-2.5> "Add to Cart" | <button.flex.w-full.cursor-pointer.items-center.justify-center.gap-2.px-4.py-2.5> "Add to Cart" | <button.flex-1.px-4.py-3.bg-neutral-900.dark:bg-white.text-white.dark:text-neutral-900.rounded-xl> "Apply Filters" | <button.relative.flex.w-full.text-base.md:text-lg.cursor-pointer.font-archivo.font-semibold> "Subscribe"
14	dark:border-neutral-800	<nav.px-3.h-16.border-t.border-neutral-200.bg-white.dark:border-neutral-800.dark:bg-black> "HomeCategoriesCartAccount" | <div.flex.items-center.justify-between.px-6.py-5.border-b.border-neutral-100.dark:border-neutral-800> "Search" | <div.border-t.border-neutral-100.dark:border-neutral-800> | <div.mx-6.border-b.border-neutral-100.dark:border-neutral-800>
14	dark:hover:bg-neutral-100	<a.flex.w-full.cursor-pointer.items-center.justify-center.gap-2.px-4.py-2.5> "Add to Cart" | <button.flex.w-full.cursor-pointer.items-center.justify-center.gap-2.px-4.py-2.5> "Add to Cart" | <button.flex-1.px-4.py-3.bg-neutral-900.dark:bg-white.text-white.dark:text-neutral-900.rounded-xl> "Apply Filters" | <button.relative.flex.w-full.text-base.md:text-lg.cursor-pointer.font-archivo.font-semibold> "Subscribe"
14	ease-in-out	<div.relative.shrink-0.overflow-hidden.rounded-full.outline-solid.outline-transparent.group-data-[focus-visible=true]:z-10.group-data-[focus-visible=true]:ring-2> | <div.relative.overflow-hidden.w-full.h-full.object-contain.transition.duration-500.ease-in-out> | <div.fixed.inset-0.bg-black/50.z-[65].transition-opacity.duration-300.ease-in-out.cursor-pointer> | <div.fixed.top-0.right-0.h-full.w-full.max-w-md.bg-white.dark:bg-neutral-900> "FiltersCOLORSIZESMLXLBRANDZebronicsUrban AuraCasa RoyaleHeritage LivingNikeDukePumaJBLLunavoSofiqueI"
14	hover:bg-neutral-800	<a.flex.w-full.cursor-pointer.items-center.justify-center.gap-2.px-4.py-2.5> "Add to Cart" | <button.flex.w-full.cursor-pointer.items-center.justify-center.gap-2.px-4.py-2.5> "Add to Cart" | <button.flex-1.px-4.py-3.bg-neutral-900.dark:bg-white.text-white.dark:text-neutral-900.rounded-xl> "Apply Filters" | <button.relative.flex.w-full.text-base.md:text-lg.cursor-pointer.font-archivo.font-semibold> "Subscribe"
14	mx-auto	<nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.flex.w-full.items-center.justify-between.max-w-screen-2xl.mx-auto> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <svg.w-12.h-12.mx-auto.text-neutral-300.dark:text-neutral-600.mb-3> | <div.mx-auto.min-h-[calc(100vh-580px)].w-full.bg-white.dark:bg-neutral-950> "HomeSmartphonesDiscover our wide range of furniture designed to bring comfort, style, and functional"
14	py-1	<div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping"
14	py-2	<a.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Home" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Categories" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Cart" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Account"
13	mt-1	<p.text-sm.text-neutral-500.dark:text-neutral-400.mt-1> "11 Products" | <h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "A smartphone and earphone bundle offers an all-in-one mobile communication and audio solution." | <h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "Apple iPhone Smartphone" | <h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "blout Pixel 9a 5G"
13	mt-2	<div.block.w-full.justify-center.md:hidden.px-4.mt-2.z-10> | <div.absolute.right-0.mt-2.w-48.sm:w-56.bg-white.dark:bg-neutral-800.rounded-2xl> "Sort ByFrom A-ZFrom Z-ANewest FirstOldest FirstCheapest FirstExpensive First" | <div.flex.items-center.gap-1.mt-2> "(0)"
13	px-6	<div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <div.flex.items-center.justify-between.px-6.py-5.border-b.border-neutral-100.dark:border-neutral-800> "Search" | <div.px-6.py-4> | <div.overflow-y-auto.h-[calc(100vh-180px)].py-4.px-6> "Start typing to search products"
13	text-neutral-500	<svg.w-6.h-6.text-neutral-500> | <p.text-neutral-500.dark:text-neutral-400> "Start typing to search products" | <p.text-neutral-500.dark:text-neutral-400> "Add items to your cart to see them here" | <nav.flex.items-center.gap-2.text-sm.text-neutral-500.dark:text-neutral-400> "HomeSmartphones"
12	border-neutral-100	<div.flex.items-center.justify-between.px-6.py-5.border-b.border-neutral-100.dark:border-neutral-800> "Search" | <div.border-t.border-neutral-100.dark:border-neutral-800> | <div.mx-6.border-b.border-neutral-100.dark:border-neutral-800> | <div.mb-6.border-b.border-neutral-100.dark:border-neutral-800.pb-6.last:border-0> "COLOR"
12	dark:hover:text-white	<a.hover:text-neutral-900.dark:hover:text-white.transition-colors> "Home" | <h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "A smartphone and earphone bundle offers an all-in-one mobile communication and audio solution." | <h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "Apple iPhone Smartphone" | <h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "blout Pixel 9a 5G"
12	duration-500	<div.relative.shrink-0.overflow-hidden.rounded-full.outline-solid.outline-transparent.group-data-[focus-visible=true]:z-10.group-data-[focus-visible=true]:ring-2> | <div.relative.overflow-hidden.w-full.h-full.object-contain.transition.duration-500.ease-in-out>
12	hover:text-neutral-900	<a.hover:text-neutral-900.dark:hover:text-white.transition-colors> "Home" | <h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "A smartphone and earphone bundle offers an all-in-one mobile communication and audio solution." | <h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "Apple iPhone Smartphone" | <h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "blout Pixel 9a 5G"
12	md:hidden	<div.block.w-full.justify-center.md:hidden.px-4.mt-2.z-10> | <div.mt-3.md:hidden> "Add to Cart"
12	object-cover	<img.object-cover> | <img.transition-opacity.duration-300.object-cover.w-full.h-full.opacity-100>
12	text-base	<p.text-base.font-bold.text-neutral-900.dark:text-white> "$535.00" | <p.text-base.font-bold.text-neutral-900.dark:text-white> "$799.00" | <p.text-base.font-bold.text-neutral-900.dark:text-white> "$490.00" | <p.text-base.font-bold.text-neutral-900.dark:text-white> "$1,234.00"
11	animate-fadeIn	<li.transition-opacity.animate-fadeIn.flex.flex-col> "A smartphone and earphone bundle offers an all-in-one mobile communication and audio solution.(0)Sta" | <li.transition-opacity.animate-fadeIn.flex.flex-col> "Apple iPhone Smartphone(0)$799.00$899.00Add to Cart" | <li.transition-opacity.animate-fadeIn.flex.flex-col> "blout Pixel 9a 5G(0)$490.00$510.00Add to Cart" | <li.transition-opacity.animate-fadeIn.flex.flex-col> "Edge 60 Fusion(0)$1,234.00Add to Cart"
11	aspect-square	<div.aspect-square.overflow-hidden.flex.items-center.justify-center.bg-transparent>
11	bg-[#F7F7F8]	<div.group.relative.overflow-hidden.rounded-2xl.bg-[#F7F7F8].dark:bg-neutral-900.transition-all.duration-300>
11	block	<div.block.w-full.justify-center.md:hidden.px-4.mt-2.z-10> | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping"
11	border-transparent	<div.group.relative.overflow-hidden.rounded-2xl.bg-[#F7F7F8].dark:bg-neutral-900.transition-all.duration-300>
11	bottom-3	<div.absolute.bottom-3.right-3.transition-all.duration-300.w-10.h-10.opacity-0>
11	dark:hover:border-neutral-700	<div.group.relative.overflow-hidden.rounded-2xl.bg-[#F7F7F8].dark:bg-neutral-900.transition-all.duration-300>
11	dark:hover:text-neutral-300	<button.absolute.right-2.top-1/2.-translate-y-1/2.p-2.text-neutral-400.hover:text-neutral-600.dark:hover:text-neutral-300> | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping"
11	dark:text-neutral-200	<h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "A smartphone and earphone bundle offers an all-in-one mobile communication and audio solution." | <h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "Apple iPhone Smartphone" | <h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "blout Pixel 9a 5G" | <h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "Edge 60 Fusion"
11	group-hover:scale-105	<div.relative.overflow-hidden.w-full.h-full.object-contain.transition.duration-500.ease-in-out>
11	h-8	<a.flex.h-8.w-auto.items-center.md:h-9> "Logoipsum" | <button.w-8.h-8.rounded-full.cursor-pointer.border-2.transition-all.hover:scale-110.border-neutral-200>
11	hover:border-neutral-200	<div.group.relative.overflow-hidden.rounded-2xl.bg-[#F7F7F8].dark:bg-neutral-900.transition-all.duration-300>
11	hover:scale-[1.02]	<div.group.relative.overflow-hidden.rounded-2xl.bg-[#F7F7F8].dark:bg-neutral-900.transition-all.duration-300>
11	hover:shadow-lg	<div.group.relative.overflow-hidden.rounded-2xl.bg-[#F7F7F8].dark:bg-neutral-900.transition-all.duration-300>
11	left-3	<div.absolute.left-3.top-3.flex.flex-col.gap-2.transition-all.duration-300>
11	line-clamp-1	<h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "A smartphone and earphone bundle offers an all-in-one mobile communication and audio solution." | <h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "Apple iPhone Smartphone" | <h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "blout Pixel 9a 5G" | <h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "Edge 60 Fusion"
11	md:line-clamp-2	<h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "A smartphone and earphone bundle offers an all-in-one mobile communication and audio solution." | <h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "Apple iPhone Smartphone" | <h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "blout Pixel 9a 5G" | <h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "Edge 60 Fusion"
11	ml-1	<span.text-xs.text-neutral-400.dark:text-neutral-500.ml-1> "(0)"
11	mt-1.5	<div.flex.items-center.gap-2.mt-1.5> "Starting at$535.00" | <div.flex.items-center.gap-2.mt-1.5> "$799.00$899.00" | <div.flex.items-center.gap-2.mt-1.5> "$490.00$510.00" | <div.flex.items-center.gap-2.mt-1.5> "$1,234.00"
11	mt-3	<div.mt-3.md:hidden> "Add to Cart"
11	object-contain	<div.relative.overflow-hidden.w-full.h-full.object-contain.transition.duration-500.ease-in-out>
11	opacity-100	<img.transition-opacity.duration-300.object-cover.w-full.h-full.opacity-100>
11	pb-2	<div.pt-3.pb-2.px-1> "A smartphone and earphone bundle offers an all-in-one mobile communication and audio solution.(0)Sta" | <div.pt-3.pb-2.px-1> "Apple iPhone Smartphone(0)$799.00$899.00Add to Cart" | <div.pt-3.pb-2.px-1> "blout Pixel 9a 5G(0)$490.00$510.00Add to Cart" | <div.pt-3.pb-2.px-1> "Edge 60 Fusion(0)$1,234.00Add to Cart"
11	pt-3	<div.pt-3.pb-2.px-1> "A smartphone and earphone bundle offers an all-in-one mobile communication and audio solution.(0)Sta" | <div.pt-3.pb-2.px-1> "Apple iPhone Smartphone(0)$799.00$899.00Add to Cart" | <div.pt-3.pb-2.px-1> "blout Pixel 9a 5G(0)$490.00$510.00Add to Cart" | <div.pt-3.pb-2.px-1> "Edge 60 Fusion(0)$1,234.00Add to Cart"
11	px-0	<div.relative.shrink-0.overflow-hidden.rounded-full.outline-solid.outline-transparent.group-data-[focus-visible=true]:z-10.group-data-[focus-visible=true]:ring-2> | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping"
11	px-1	<div.pt-3.pb-2.px-1> "A smartphone and earphone bundle offers an all-in-one mobile communication and audio solution.(0)Sta" | <div.pt-3.pb-2.px-1> "Apple iPhone Smartphone(0)$799.00$899.00Add to Cart" | <div.pt-3.pb-2.px-1> "blout Pixel 9a 5G(0)$490.00$510.00Add to Cart" | <div.pt-3.pb-2.px-1> "Edge 60 Fusion(0)$1,234.00Add to Cart"
11	right-3	<div.absolute.bottom-3.right-3.transition-all.duration-300.w-10.h-10.opacity-0>
11	size-4	<svg.fill-ptimary.h-5.w-5.dark:fill-transparent.size-4.stroke-current.stroke-[1.5]>
11	text-neutral-800	<h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "A smartphone and earphone bundle offers an all-in-one mobile communication and audio solution." | <h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "Apple iPhone Smartphone" | <h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "blout Pixel 9a 5G" | <h3.text-sm.font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "Edge 60 Fusion"
11	top-3	<div.absolute.left-3.top-3.flex.flex-col.gap-2.transition-all.duration-300>
11	transition	<div.relative.overflow-hidden.w-full.h-full.object-contain.transition.duration-500.ease-in-out>
11	translate-y-2	<div.absolute.bottom-3.right-3.transition-all.duration-300.w-10.h-10.opacity-0>
10	border-2	<button.w-8.h-8.rounded-full.cursor-pointer.border-2.transition-all.hover:scale-110.border-neutral-200>
10	fill-white	<rect.fill-white> | <path.fill-white> | <svg.fill-white.stroke-neutral-900.dark:fill-neutral-900.dark:stroke-neutral-300>
10	hover:scale-110	<button.w-8.h-8.rounded-full.cursor-pointer.border-2.transition-all.hover:scale-110.border-neutral-200>
10	hover:text-black	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
10	hover:underline	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
10	md:inline-block	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
10	md:p-2	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
10	md:px-6	<div.w-full.px-4.md:px-6.lg:px-8.pt-2.md:pt-3> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.max-w-screen-2xl.mx-auto.px-4.md:px-6.lg:px-8.py-3.mt-5> "HomeSmartphones" | <div.max-w-screen-2xl.mx-auto.px-4.md:px-6.lg:px-8.mb-4> "Discover our wide range of furniture designed to bring comfort, style, and functionality to every co"
10	text-center	<div.py-12.text-center> "Start typing to search products" | <div.flex.flex-col.items-center.justify-center.h-64.text-center> "Your cart is emptyAdd items to your cart to see them here" | <div.flex.flex-col.items-center.justify-center.gap-2.5.text-center.py-4.px-3> "Enjoy free shipping on all orders" | <p.max-w-[180px].text-center.font-archivo.text-xs.font-medium.text-neutral-600.dark:text-neutral-400.leading-snug> "Enjoy free shipping on all orders"
10	text-nowrap	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
10	underline-offset-4	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
10	w-8	<button.w-8.h-8.rounded-full.cursor-pointer.border-2.transition-all.hover:scale-110.border-neutral-200>
9	fixed	<div.fixed.left-1/2.z-[999].w-[80%].-translate-x-1/2.sm:max-w-md.top-4.bottom-auto> | <header.fixed.top-0.left-0.right-0.z-[60]> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.fixed.inset-x-0.bottom-0.z-[60].lg:hidden> "HomeCategoriesCartAccount" | <div.fixed.inset-0.z-40.bg-black/40.backdrop-blur-sm.transition-opacity.duration-300.ease-out>
9	hover:bg-white/10	<button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Account" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones"
9	lg:px-8	<div.w-full.px-4.md:px-6.lg:px-8.pt-2.md:pt-3> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.max-w-screen-2xl.mx-auto.px-4.md:px-6.lg:px-8.py-3.mt-5> "HomeSmartphones" | <div.max-w-screen-2xl.mx-auto.px-4.md:px-6.lg:px-8.mb-4> "Discover our wide range of furniture designed to bring comfort, style, and functionality to every co"
9	py-4	<div.px-6.py-4> | <div.overflow-y-auto.h-[calc(100vh-180px)].py-4.px-6> "Start typing to search products" | <div.flex.items-center.justify-between.px-6.py-4.border-b.border-neutral-200.dark:border-neutral-700> "Filters" | <div.px-6.py-4.border-t.border-neutral-200.dark:border-neutral-700.bg-neutral-50.dark:bg-neutral-800/50> "CancelApply Filters"
9	text-neutral-700	<button.flex.items-center.gap-2.px-4.py-2.5.rounded-full.border.transition-all> "Filters" | <button.flex.items-center.gap-2.px-3.sm:px-4.py-2.sm:py-2.5.rounded-full> "From A-Z" | <button.w-full.flex.items-center.justify-between.px-3.sm:px-4.py-2.5.sm:py-3> "From Z-A" | <button.w-full.flex.items-center.justify-between.px-3.sm:px-4.py-2.5.sm:py-3> "Newest First"
8	hover:text-white	<a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Entertainment"
8	max-w-screen-2xl	<div.flex.w-full.items-center.justify-between.max-w-screen-2xl.mx-auto> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.max-w-screen-2xl.mx-auto.px-4.md:px-6.lg:px-8.py-3.mt-5> "HomeSmartphones" | <div.max-w-screen-2xl.mx-auto.px-4.md:px-6.lg:px-8.mb-4> "Discover our wide range of furniture designed to bring comfort, style, and functionality to every co" | <div.max-w-screen-2xl.mx-auto.px-4.md:px-6.lg:px-8.py-6> "Smartphones11 ProductsFiltersFrom A-ZSort ByFrom A-ZFrom Z-ANewest FirstOldest FirstCheapest FirstEx"
8	rounded-lg	<div.!min-h-9.!min-w-9.flex.items-center.justify-center.rounded-lg.bg-emerald-500> | <a.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Home" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Categories" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Cart"
8	sm:px-4	<button.flex.items-center.gap-2.px-3.sm:px-4.py-2.sm:py-2.5.rounded-full> "From A-Z" | <p.px-3.sm:px-4.py-2.text-xs.font-semibold.text-neutral-400.uppercase.tracking-wider> "Sort By" | <button.w-full.flex.items-center.justify-between.px-3.sm:px-4.py-2.5.sm:py-3> "From A-Z" | <button.w-full.flex.items-center.justify-between.px-3.sm:px-4.py-2.5.sm:py-3> "From Z-A"
8	text-neutral-300	<p.text-sm.font-semibold.text-neutral-300> "Logoipsum" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones"
8	transition-transform	<div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "SearchStart typing to search products" | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "Shopping CartYour cart is emptyAdd items to your cart to see them here" | <div.relative.shrink-0.overflow-hidden.rounded-full.outline-solid.outline-transparent.group-data-[focus-visible=true]:z-10.group-data-[focus-visible=true]:ring-2> | <svg.w-4.h-4.transition-transform.duration-200>
7	border-b	<div.flex.items-center.justify-between.px-6.py-5.border-b.border-neutral-100.dark:border-neutral-800> "Search" | <div.mx-6.border-b.border-neutral-100.dark:border-neutral-800> | <div.flex.items-center.justify-between.px-6.py-4.border-b.border-neutral-200.dark:border-neutral-700> "Filters" | <div.mb-6.border-b.border-neutral-100.dark:border-neutral-800.pb-6.last:border-0> "COLOR"
7	size-5	<svg.size-5.stroke-neutral-400.md:stroke-neutral-400> | <svg.fill-ptimary.h-5.w-5.dark:fill-transparent.size-5.stroke-current.stroke-[1.5]>
